"User","Username","Date Created","Likes","Tweet"
"Piyush Bhatee","bhatee_piy25586","2025-06-29 13:08:12+00:00","0","🌊 Rising sea levels now fuel deadly U.S. storm surges. Chevron, BP, Exxon CO₂ emissions warmed oceans and flooded coastlines. #SurgeSinners"
"Bureau of Nonsense","Bur_of_Nonsense","2025-06-28 10:25:57+00:00","0","HEADLINE: ""European Heatwave &amp; Bezos Venice Wedding""
Southern Europe is roasting as Bezos weds in Venice. Because nothing says climate crisis like a €40 million ceremony amid meltdown warnings.

Billionaires: “Let them eat cake, and a side of rising sea levels.”"
"GlanceNow","SnapGlance","2025-06-28 07:49:11+00:00","1","Nearly half of Tuvalus citizens are racing to secure Australian visas as climate change threatens their existence.

With rising sea levels looming, the urgency is palpable.

A desperate bid for survival reflects the dire reality many face.

Source: New York Times - World News."
"Joseph Young","JosephYoun1329","2025-06-28 05:59:33+00:00","0","How to protect human existence on the planet earth  from the effects of climate change including global warming and rising sea levels but simultaneously invent more and more sophisticated methods of war and  mass killing. We are high on hypocrisy."
"Trevor","_Vret","2025-06-28 01:05:03+00:00","3","one refrain of ‘green’ liberals that always irks me is the attribution of anthropogenic problems—extinction of species, rising sea levels, melting glaciers, globalized war—to human beings as a species instead of the ruling classes, systems, and empires"
"HelpYouHelpYOU","HelpYou_HelpYou","2025-06-27 16:55:57+00:00","0","Saltwater Intrusion into Drinking Water Supplies

In coastal areas like southern Florida and parts of Louisiana, rising sea levels are pushing saltwater into freshwater aquifers.
 Impact: Drinking water becomes unsafe or unusable, forcing cities to invest in expensive filtration"
"alfonsogarcia","alfonso73202912","2025-06-27 15:15:27+00:00","0","Christmas Island faces significant climate change challenges, including rising sea levels, increased storm frequency, and the warming of ocean waters that threaten its ecosystems. #ClimateChange #IslandChallenges"
"Peace🌻","BiblicalJoy","2025-06-27 14:24:00+00:00","0","They panic over rising sea levels… but not over the rising death toll of unborn children. #ProLife #prochoice ##endabortion"
"Alida Roy","InhVo84314","2025-06-27 08:30:35+00:00","0","You cannot deny the impact of climate change; the rising sea levels and extreme weather events are clear evidence of our mistakes."
"John Cayetano","jhncayetano","2025-06-27 07:42:30+00:00","0","More than a third of the population of Tuvalu has applied to move to Australia, under a landmark visa scheme designed to help people escape rising sea levels."
"An Economic Dose","AnEconomicDose","2025-06-27 07:00:24+00:00","0","Tuvalu climate change visa: 1,124 applications for 280 visas to Australia due to rising sea levels. UK vehicle production plummeted 32.8%in May. US &amp; China signed a rare earth trade deal. #ClimateChange #Trade #Economy"
"NewzGen","newzgen_ar","2025-06-27 06:52:18+00:00","0","More than a third of Tuvalu's citizens (1,124) have entered Australia's climate change visa ballot, aiming to permanently migrate due to rising sea levels threatening their island nation."
